word,x,y,z,category
elend,0.3959374,0.6551669,-1.3384304,Characters
kelsier,-1.2102767,-7.181846,-1.9384993,Characters
sazed,-6.482888,-1.100044,-3.392513,Characters
lord,-3.5086644,-0.97650963,0.3722022,Characters
embargo,2.7971592,3.9943697,2.4926538,Others
mientras,1.4029511,1.6999824,-1.0359559,Others
pensó,-0.42715156,6.0082197,-3.2975867,Verbs
legislador,5.418441,0.56019366,-6.590569,Characters
hombre,4.721338,-3.3203783,0.00062214036,Others
cabeza,-2.4221387,-2.4542875,2.3587902,Others
ciudad,-0.5699085,0.031560358,-0.006526695,Places
brisa,5.3656716,-2.3374805,0.546506,Others
fantasma,-1.4489969,3.2423809,-3.207405,Characters
solo,-2.5724587,-0.6210886,-0.8501767,Others
bien,2.6326892,-3.289094,3.7975013,Others
hombres,0.48180032,0.3555641,1.6552839,Entities
bruma,2.1740735,4.268168,-1.9191102,Objects
poder,-0.28258905,-4.103252,-2.8904018,Others
asintió,-2.8205578,0.38694066,-3.877386,Verbs
ojos,-0.7260414,1.1421864,0.018141689,Others
gente,1.0322632,-0.8333147,-1.4214227,Entities
tiempo,-1.7284324,1.1176937,4.6796126,Others
koloss,0.22764333,-0.5770787,2.539382,Entities
skaa,-5.791543,-2.1236215,1.3258526,Entities
cómo,-1.2078404,1.1459652,3.4005284,Others
hecho,0.39802024,4.906667,3.8472908,Others
brumas,-3.0143363,2.913547,0.5803402,Others
hacer,4.0905523,-0.6680415,2.1900594,Verbs
miró,3.115293,-2.128731,-1.281036,Verbs
metal,-0.040007964,-0.71383876,3.242254,Objects
